algorithm,join_ratio,rep,initial_accuracy_r0,final_accuracy_r50,best_accuracy_round_series,best_accuracy_round,normalized_aulc,gain_r0_to_r10,gain_r0_to_r20,mean_gain_per_round_r0_r10,absolute_threshold,first_round_absolute,sustained_round_absolute,accuracy_round_10,accuracy_round_20,accuracy_round_30,accuracy_round_40,accuracy_round_50,relative_threshold_90,first_round_relative_90,sustained_round_relative_90,relative_threshold_95,first_round_relative_95,sustained_round_relative_95,relative_threshold_99,first_round_relative_99,sustained_round_relative_99
SCAFFOLD,0.5,rep5,0.0569,0.6987,0.7455,41,0.678256,0.626,0.6568,0.0626,0.65,8.0,8.0,0.6829,0.7137,0.7395,0.7362,0.6987,0.67095,9.0,9.0,0.708225,15.0,,0.7380450000000001,29.0,
SCAFFOLD,0.75,rep1,0.0569,0.7239,0.7506,43,0.696276,0.6388,0.6775000000000001,0.06388,0.65,6.0,6.0,0.6957,0.7344,0.731,0.7417,0.7239,0.67554,8.0,8.0,0.71307,16.0,27.0,0.743094,41.0,
SCAFFOLD,0.75,rep2,0.0569,0.7479,0.7547,46,0.6914959999999999,0.6417,0.6766000000000001,0.06417,0.65,6.0,6.0,0.6986,0.7335,0.7374,0.7447,0.7479,0.67923,9.0,9.0,0.716965,16.0,18.0,0.7471530000000001,45.0,50.0
SCAFFOLD,0.75,rep3,0.0569,0.7349,0.7511,42,0.694304,0.6382000000000001,0.6625000000000001,0.06382000000000002,0.65,7.0,7.0,0.6951,0.7194,0.7219,0.7499,0.7349,0.67599,8.0,8.0,0.713545,18.0,18.0,0.7435889999999999,38.0,
SCAFFOLD,0.75,rep4,0.0569,0.7417,0.7533,44,0.6918919999999998,0.6364000000000001,0.6649,0.06364,0.65,7.0,7.0,0.6933,0.7218,0.7303,0.7411,0.7417,0.67797,9.0,9.0,0.7156349999999999,16.0,18.0,0.745767,43.0,
SCAFFOLD,0.75,rep5,0.0569,0.7361,0.7533,44,0.6919980000000001,0.6355000000000001,0.6709,0.06355000000000001,0.65,7.0,7.0,0.6924,0.7278,0.7359,0.7455,0.7361,0.67797,8.0,8.0,0.7156349999999999,14.0,49.0,0.745767,43.0,
SCAFFOLD,1.0,rep1,0.0569,0.7597,0.7599,48,0.7015980000000002,0.6429,0.6692,0.06429,0.65,6.0,6.0,0.6998,0.7261,0.7463,0.7514,0.7597,0.68391,8.0,8.0,0.721905,19.0,19.0,0.752301,41.0,46.0
SCAFFOLD,1.0,rep2,0.0569,0.7488,0.7608,44,0.7028570000000001,0.6438,0.6721,0.06438,0.65,6.0,6.0,0.7007,0.729,0.7424,0.7509,0.7488,0.68472,8.0,8.0,0.72276,19.0,19.0,0.753192,42.0,
SCAFFOLD,1.0,rep3,0.0569,0.7512,0.7582,43,0.7030270000000001,0.6442,0.6703,0.06442,0.65,6.0,6.0,0.7011,0.7272,0.7448,0.7555,0.7512,0.68238,8.0,8.0,0.72029,18.0,18.0,0.750618,37.0,37.0
SCAFFOLD,1.0,rep4,0.0569,0.7458,0.7583,39,0.702143,0.6425000000000001,0.6704,0.06425,0.65,6.0,6.0,0.6994,0.7273,0.7476,0.7545,0.7458,0.68247,8.0,8.0,0.7203849999999999,18.0,18.0,0.750717,37.0,
SCAFFOLD,1.0,rep5,0.0569,0.7559,0.7602,40,0.7025960000000001,0.6445000000000001,0.6731,0.06445000000000001,0.65,6.0,6.0,0.7014,0.73,0.7457,0.7602,0.7559,0.68418,8.0,8.0,0.72219,19.0,19.0,0.752598,38.0,49.0
